SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND,Rainfall_Category,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_5
Andaman & Nicobar Islands,1925,36.6,0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196,2480.5,36.6,341.2,1385.7,717,Heavy Rainfall,1409.4492071119655,1409.4492071119655,3554.2,2124.3661380746435,2384.539682844786
Andaman & Nicobar Islands,1926,122.1,0,0,0.5,198.4,370,195.3,523.7,719.3,443.8,148.4,560.7,3282.2,122.1,198.9,1808.3,1152.9,Heavy Rainfall,2480.5,1409.4492071119655,1409.4492071119655,1766.4661380746436,2291.999682844786
Andaman & Nicobar Islands,1927,3,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9,20.5,630.5,1124.8,667.1,Heavy Rainfall,3282.2,2480.5,1409.4492071119655,2390.716402370655,2427.159682844786
Andaman & Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3,118.5,709.5,1612.8,557.5,Heavy Rainfall,2442.9,3282.2,2480.5,2735.2,2204.899682844786
Andaman & Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8,134,644.7,172.9,413,251.5,13.5,2926.6,192.6,515.6,1540.4,678,Heavy Rainfall,2998.3,2442.9,3282.2,2907.8,2522.669841422393
Andaman & Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1,192.8,373.6,1975.4,533.3,Heavy Rainfall,2926.6,2998.3,2442.9,2789.266666666667,2826.1
Andaman & Nicobar Islands,1931,25.3,0,2.5,2.5,205.4,393.5,289.3,571,294.4,368.3,22.8,182.7,2357.7,25.3,210.4,1548.2,573.8,Heavy Rainfall,3075.1,2926.6,2998.3,3000,2945.02
Andaman & Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,230.11747549605545,347.02004305190144,289.74218451242825,197.31633189861307,95.32470700789284,39.49643284654058,18.968645284825275,1409.4492071119655,5.3,548,1063.851579703207,153.64862275449102,Normal,2357.7,3075.1,2926.6,2786.4666666666667,2760.12
Andaman & Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759,239.8,268.8,56.9,2987.5,16.2,431.9,1973.9,565.5,Heavy Rainfall,1409.4492071119655,2357.7,3075.1,2280.7497357039883,2553.429841422393
Andaman & Nicobar Islands,1934,7.3,172.9,6.9,131.4,62,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8,180.2,200.3,2717.9,624.4,Heavy Rainfall,2987.5,1409.4492071119655,2357.7,2251.5497357039885,2551.2698414223933
Andaman & Nicobar Islands,1935,6.6,0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154,6.6,860.9,1733.3,553.2,Heavy Rainfall,3722.8,2987.5,1409.4492071119655,2706.583069037322,2710.509841422393
